DASYLab 2016 - 2016
Schaltbildname : PreIma-2018
Aufgenommen am : 05.09.2018, 11:43:31
Blocklaenge    : 1
Delta          : 0.08 sec.
Kanalzahl      : 97
> Aktuelle Config.: Federtyp_00.TypCfg
> Typ der Feder: 0
> Faktor nach FFT: 100000,00
> Faktor nach Integr.: 100,00
Datum Uhrzeit;Schreiben 0/0 [V];Schreiben 0/1 [V];Schreiben 0/2 [V];Schreiben 0/3 [V];Schreiben 0/4 [V];Schreiben 0/5 [V];Schreiben 0/6 [V];Schreiben 0/7 [V];Schreiben 0/8 [V];Schreiben 0/9 [V];Schreiben 0/10 [V];Schreiben 0/11 [V];Schreiben 0/12 [V];Schreiben 0/13 [V];Schreiben 0/14 [V];Schreiben 0/15 [V];Schreiben 1/0 [V];Schreiben 1/1 [V];Schreiben 1/2 [V];Schreiben 1/3 [V];Schreiben 1/4 [V];Schreiben 1/5 [V];Schreiben 1/6 [V];Schreiben 1/7 [V];Schreiben 1/8 [V];Schreiben 1/9 [V];Schreiben 1/10 [V];Schreiben 1/11 [V];Schreiben 1/12 [V];Schreiben 1/13 [V];Schreiben 1/14 [V];Schreiben 1/15 [V];Schreiben 2/0 [V];Schreiben 2/1 [V];Schreiben 2/2 [V];Schreiben 2/3 [V];Schreiben 2/4 [V];Schreiben 2/5 [V];Schreiben 2/6 [V];Schreiben 2/7 [V];Schreiben 2/8 [V];Schreiben 2/9 [V];Schreiben 2/10 [V];Schreiben 2/11 [V];Schreiben 2/12 [V];Schreiben 2/13 [V];Schreiben 2/14 [V];Schreiben 2/15 [V];Schreiben 3/0 [V];Schreiben 3/1 [V];Schreiben 3/2 [V];Schreiben 3/3 [V];Schreiben 3/4 [V];Schreiben 3/5 [V];Schreiben 3/6 [V];Schreiben 3/7 [V];Schreiben 3/8 [V];Schreiben 3/9 [V];Schreiben 3/10 [V];Schreiben 3/11 [V];Schreiben 3/12 [V];Schreiben 3/13 [V];Schreiben 3/14 [V];Schreiben 3/15 [V];Schreiben 4/0 [V];Schreiben 4/1 [V];Schreiben 4/2 [V];Schreiben 4/3 [V];Schreiben 4/4 [V];Schreiben 4/5 [V];Schreiben 4/6 [V];Schreiben 4/7 [V];Schreiben 4/8 [V];Schreiben 4/9 [V];Schreiben 4/10 [V];Schreiben 4/11 [V];Schreiben 4/12 [V];Schreiben 4/13 [V];Schreiben 4/14 [V];Schreiben 4/15 [V];Schreiben 5/0 [V];Schreiben 5/1 [V];Schreiben 5/2 [V];Schreiben 5/3 [V];Schreiben 5/4 [V];Schreiben 5/5 [V];Schreiben 5/6 [V];Schreiben 5/7 [V];Schreiben 5/8 [V];Schreiben 5/9 [V];Schreiben 5/10 [V];Schreiben 5/11 [V];Schreiben 5/12 [V];Schreiben 5/13 [V];Schreiben 5/14 [V];Schreiben 5/15 [V];Schreiben 6/0 [V];
05.09.2018 11:43:31,00;8,136021;8,136021;5,118701;7,391021;4,907304;4,907304;1,469834;3,867912;883,333333;883,333333;1150,000000;7733,333333;5,719555;1,234071;0,930197;1,972530;37,993433;37,993433;17,734879;1,947741;18,624072;18,624072;7,535755;0,931128;887,500000;887,500000;1120,833333;7841,666667;14,245489;5,680414;5,095377;0,689631;8,525934;19,965044;4,446343;6,914485;4,165180;6,025574;1,282899;2,662161;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;
05.09.2018 11:43:43,00;26,438085;26,438085;5,343067;2,659465;11,434721;11,434721;1,894446;1,252650;920,833333;920,833333;1179,166667;7891,666667;8,046792;3,463876;1,518851;0,903582;23,081126;23,081126;10,835863;2,889690;11,249762;11,249762;4,922359;1,246409;883,333333;883,333333;1179,166667;7695,833333;9,942338;4,077536;2,529150;0,890120;1,895547;17,989130;0,613659;7,541412;1,010300;4,048001;0,013463;1,793702;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
05.09.2018 11:43:55,00;34,279443;34,279443;13,925902;3,713709;17,498959;17,498959;6,718125;2,053417;875,000000;875,000000;1116,666667;7758,333333;13,077142;4,997277;3,271578;1,547218;99,721628;99,721628;33,092533;2,152313;62,195274;62,195274;13,015576;0,891787;879,166667;879,166667;1175,000000;7625,000000;21,764800;12,320794;5,943238;0,666114;8,687657;34,841942;7,323516;17,318071;2,671660;9,214816;0,881104;2,213332;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;1,00;0,00;1,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;
05.09.2018 11:44:08,00;66,127525;66,127525;7,205470;0,919232;32,906130;32,906130;3,951404;0,333356;904,166667;904,166667;1154,166667;7929,166667;14,730114;9,127003;1,984234;0,261754;87,137020;87,137020;14,252538;1,842832;34,468352;34,468352;7,603827;0,741044;891,666667;891,666667;1200,000000;7908,333333;15,208440;8,695099;3,325027;0,582006;0,478325;29,938554;0,431905;17,822102;1,340793;5,309262;0,320252;0,843760;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;
05.09.2018 11:44:30,00;17,298414;17,298414;4,765543;0,833857;9,416294;9,416294;2,811619;0,432992;887,500000;887,500000;1100,000000;7975,000000;7,441502;2,969319;1,668379;0,231107;29,285250;29,285250;18,315413;1,284693;8,268826;7,946834;8,268826;0,525385;1120,833333;870,833333;1120,833333;7958,333333;10,770816;4,192089;3,903012;0,475599;3,329314;18,212318;1,222770;7,161408;2,234633;5,571391;0,244492;0,706706;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;
05.09.2018 11:44:42,00;67,107832;67,107832;29,336365;2,707985;32,493726;32,493726;12,369459;0,955353;891,666667;891,666667;1187,500000;7891,666667;17,786641;6,411575;6,799711;0,828899;138,184090;138,184090;38,530764;1,725865;51,095413;51,095413;12,564390;0,995860;879,166667;879,166667;1179,166667;7912,500000;34,012223;17,599111;10,591974;0,648085;16,225582;51,798864;11,187536;24,010686;3,792263;17,391684;0,180814;1,476984;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;1,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;1,00;0,00;1,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;
05.09.2018 11:44:54,00;51,537046;51,537046;6,712964;2,732141;20,589507;20,589507;3,765933;1,728563;900,000000;900,000000;1166,666667;7825,000000;9,403911;5,114293;1,475179;0,856820;151,490905;151,490905;22,183492;1,684675;44,122333;44,122333;15,382636;0,899193;879,166667;879,166667;1095,833333;7816,666667;20,483371;12,071210;5,153091;0,557213;11,079461;29,887282;6,956917;17,185504;3,677912;6,628270;0,299607;1,414033;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;1,00;0,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;
05.09.2018 11:45:07,00;21,966825;21,966825;6,032105;0,993565;13,024243;13,024243;2,606223;0,425462;879,166667;879,166667;1108,333333;7912,500000;5,873980;2,779608;1,197926;0,340231;22,579709;22,579709;10,365711;3,034958;7,972260;7,972260;5,344481;0,915866;887,500000;887,500000;1100,000000;7512,500000;8,963233;3,445116;1,956525;0,750813;3,089252;14,837213;0,665508;6,224724;0,758600;3,154451;0,410583;1,091044;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
05.09.2018 11:45:19,00;19,545476;19,545476;8,698407;0,384972;7,172394;7,172394;4,783396;0,164333;862,500000;862,500000;1358,333333;7704,166667;6,793562;2,975564;2,352962;0,144385;42,148489;42,148489;9,666269;2,709815;13,099357;13,099357;4,895681;1,250640;900,000000;900,000000;1162,500000;7675,000000;11,319972;4,223543;3,133909;0,692807;4,526410;18,113534;1,247979;7,199107;0,780947;5,486872;0,548423;0,837192;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;
05.09.2018 11:45:31,00;13,830316;13,830316;4,996776;0,515153;5,972579;5,972579;2,324009;0,221786;908,333333;908,333333;1145,833333;7862,500000;4,671376;2,426993;1,035889;0,179365;67,749901;67,749901;21,022671;0,631746;29,432764;29,432764;11,784633;0,340518;875,000000;875,000000;1166,666667;7700,000000;14,884748;7,567208;4,893659;0,253147;10,213371;19,556124;5,140215;9,994200;3,857770;5,929547;0,073781;0,432512;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;1,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;
