DASYLab 2016 - 2016
Schaltbildname : PreIma-2018
Aufgenommen am : 05.09.2018, 13:59:57
Blocklaenge    : 1
Delta          : 0.08 sec.
Kanalzahl      : 97
> Aktuelle Config.: Federtyp_01.TypCfg
> Typ der Feder: 1
> Faktor nach FFT: 100000,00
> Faktor nach Integr.: 100,00
Datum Uhrzeit;Schreiben 0/0 [V];Schreiben 0/1 [V];Schreiben 0/2 [V];Schreiben 0/3 [V];Schreiben 0/4 [V];Schreiben 0/5 [V];Schreiben 0/6 [V];Schreiben 0/7 [V];Schreiben 0/8 [V];Schreiben 0/9 [V];Schreiben 0/10 [V];Schreiben 0/11 [V];Schreiben 0/12 [V];Schreiben 0/13 [V];Schreiben 0/14 [V];Schreiben 0/15 [V];Schreiben 1/0 [V];Schreiben 1/1 [V];Schreiben 1/2 [V];Schreiben 1/3 [V];Schreiben 1/4 [V];Schreiben 1/5 [V];Schreiben 1/6 [V];Schreiben 1/7 [V];Schreiben 1/8 [V];Schreiben 1/9 [V];Schreiben 1/10 [V];Schreiben 1/11 [V];Schreiben 1/12 [V];Schreiben 1/13 [V];Schreiben 1/14 [V];Schreiben 1/15 [V];Schreiben 2/0 [V];Schreiben 2/1 [V];Schreiben 2/2 [V];Schreiben 2/3 [V];Schreiben 2/4 [V];Schreiben 2/5 [V];Schreiben 2/6 [V];Schreiben 2/7 [V];Schreiben 2/8 [V];Schreiben 2/9 [V];Schreiben 2/10 [V];Schreiben 2/11 [V];Schreiben 2/12 [V];Schreiben 2/13 [V];Schreiben 2/14 [V];Schreiben 2/15 [V];Schreiben 3/0 [V];Schreiben 3/1 [V];Schreiben 3/2 [V];Schreiben 3/3 [V];Schreiben 3/4 [V];Schreiben 3/5 [V];Schreiben 3/6 [V];Schreiben 3/7 [V];Schreiben 3/8 [V];Schreiben 3/9 [V];Schreiben 3/10 [V];Schreiben 3/11 [V];Schreiben 3/12 [V];Schreiben 3/13 [V];Schreiben 3/14 [V];Schreiben 3/15 [V];Schreiben 4/0 [V];Schreiben 4/1 [V];Schreiben 4/2 [V];Schreiben 4/3 [V];Schreiben 4/4 [V];Schreiben 4/5 [V];Schreiben 4/6 [V];Schreiben 4/7 [V];Schreiben 4/8 [V];Schreiben 4/9 [V];Schreiben 4/10 [V];Schreiben 4/11 [V];Schreiben 4/12 [V];Schreiben 4/13 [V];Schreiben 4/14 [V];Schreiben 4/15 [V];Schreiben 5/0 [V];Schreiben 5/1 [V];Schreiben 5/2 [V];Schreiben 5/3 [V];Schreiben 5/4 [V];Schreiben 5/5 [V];Schreiben 5/6 [V];Schreiben 5/7 [V];Schreiben 5/8 [V];Schreiben 5/9 [V];Schreiben 5/10 [V];Schreiben 5/11 [V];Schreiben 5/12 [V];Schreiben 5/13 [V];Schreiben 5/14 [V];Schreiben 5/15 [V];Schreiben 6/0 [V];
05.09.2018 13:59:57,00;6,773131;6,773131;4,063291;1,173216;2,229491;1,943206;2,229491;0,657339;1141,666667;854,166667;1141,666667;7683,333333;5,251774;1,397745;1,689638;0,465495;8,964982;8,964982;7,883300;1,851306;4,818426;4,273815;4,818426;0,790185;1154,166667;716,666667;1154,166667;7775,000000;6,400560;1,734396;1,850088;0,698194;1,148786;11,652334;0,336650;3,132141;0,160450;3,539726;0,232699;1,163689;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
05.09.2018 14:00:09,00;65,654540;35,056588;65,654540;4,261922;35,903342;18,009763;33,747025;2,081329;1508,333333;845,833333;1104,166667;7904,166667;57,149899;8,985896;20,487468;1,421149;234,737976;180,514821;234,737976;22,793866;174,944750;75,535866;174,944750;7,319520;1091,666667;841,666667;1091,666667;7920,833333;152,267227;29,845884;72,533205;6,240546;95,117328;209,417126;20,859988;38,831780;52,045738;93,020673;4,819398;7,661695;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;
05.09.2018 14:00:21,00;105,135463;105,135463;48,967532;9,101547;55,532363;55,532363;32,401032;4,340601;825,000000;825,000000;1087,500000;8000,000000;63,442070;13,654123;18,489140;2,673355;83,643466;54,401812;83,643466;3,964738;31,117817;23,832632;31,117817;2,307586;1091,666667;845,833333;1091,666667;7866,666667;59,266775;7,733179;26,120481;1,503246;4,175295;122,708845;5,920944;21,387302;7,631341;44,609621;1,170109;4,176602;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
05.09.2018 14:00:34,00;81,046626;81,046626;35,953016;1,108758;23,404105;23,404105;14,550105;0,605973;854,166667;854,166667;1083,333333;7979,166667;25,079934;12,913618;9,351283;0,237621;34,281357;34,281357;25,221636;1,246824;10,485660;10,063684;10,485660;0,696489;1075,000000;870,833333;1075,000000;7945,833333;16,812699;7,033050;5,958383;0,385704;8,267234;41,892633;5,880568;19,946669;3,392900;15,309666;0,148083;0,623325;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
05.09.2018 14:00:46,00;13,688350;12,969061;13,688350;1,361960;7,176561;7,176561;6,399013;0,712370;845,833333;845,833333;1087,500000;7950,000000;8,918082;4,428281;2,568031;0,279731;23,786627;23,786627;12,267890;1,959476;10,427590;10,427590;6,193254;0,869409;862,500000;862,500000;1050,000000;7970,833333;13,610696;6,019755;3,758756;0,565458;4,692614;22,528778;1,591473;10,448036;1,190725;6,326787;0,285727;0,845189;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
05.09.2018 14:38:00,00;53,930294;18,896282;53,930294;2,577564;15,952274;8,240406;15,952274;1,327199;1112,500000;841,666667;1112,500000;7983,333333;29,604293;4,317117;13,227782;0,736758;172,085337;45,401452;172,085337;3,295949;81,854380;25,602683;81,854380;1,173613;1125,000000;741,666667;1125,000000;7920,833333;60,875497;10,396384;39,133566;0,690783;31,271204;90,479790;6,079267;14,713500;25,905784;52,361348;0,045975;1,427541;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;
05.09.2018 14:38:13,00;49,332596;24,226093;49,332596;1,755019;18,814925;9,323078;18,814925;1,075452;1104,166667;737,500000;1104,166667;7912,500000;19,066545;6,100693;8,095482;0,480716;69,067762;51,045058;69,067762;0,918631;55,411281;19,263537;55,411281;0,569862;1037,500000;820,833333;1037,500000;7937,500000;29,156816;12,797649;12,405628;0,235299;10,090270;48,223361;6,696956;18,898341;4,310146;20,501109;0,245417;0,716015;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
05.09.2018 14:38:27,00;170,927904;129,548755;170,927904;13,115158;107,044908;73,817291;107,044908;6,499956;1212,500000;841,666667;1212,500000;7937,500000;99,982043;21,540083;39,873764;3,743208;164,417785;157,852297;164,417785;2,413996;109,585069;61,034682;109,585069;1,186799;1120,833333;812,500000;1120,833333;7837,500000;62,087190;24,923289;29,151507;0,755168;37,894853;162,069233;3,383206;46,463372;10,722257;69,025271;2,988040;4,498376;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
05.09.2018 14:38:40,00;10,646003;10,646003;5,825181;0,507478;4,522421;4,522421;2,479908;0,205102;833,333333;833,333333;1116,666667;7837,500000;6,386210;2,382993;1,887522;0,166392;19,148027;19,148027;7,929878;3,441109;9,295795;9,295795;3,502136;1,681676;837,500000;837,500000;1100,000000;7970,833333;11,315977;3,673860;2,507594;1,055508;4,929767;17,702187;1,290866;6,056853;0,620072;4,395116;0,889116;1,221900;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
05.09.2018 14:38:53,00;107,762929;78,325490;107,762929;1,653367;45,652886;30,362356;45,652886;0,667212;1087,500000;820,833333;1087,500000;7895,833333;41,178297;11,483537;23,086045;0,419766;108,308410;58,424284;108,308410;4,332745;73,995362;21,068029;73,995362;2,005790;1137,500000;879,166667;1137,500000;7895,833333;59,669526;14,148390;30,655323;1,302794;18,491229;100,847823;2,664853;25,631927;7,569278;53,741368;0,883027;1,722560;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
