DASYLab 2016 - 2016
Schaltbildname : PreIma-2018
Aufgenommen am : 06.09.2018, 08:59:58
Blocklaenge    : 1
Delta          : 0.08 sec.
Kanalzahl      : 97
> Aktuelle Config.: Federtyp_02.TypCfg
> Typ der Feder: 2
> Faktor nach FFT: 100000,00
> Faktor nach Integr.: 100,00
Datum Uhrzeit;Schreiben 0/0 [V];Schreiben 0/1 [V];Schreiben 0/2 [V];Schreiben 0/3 [V];Schreiben 0/4 [V];Schreiben 0/5 [V];Schreiben 0/6 [V];Schreiben 0/7 [V];Schreiben 0/8 [V];Schreiben 0/9 [V];Schreiben 0/10 [V];Schreiben 0/11 [V];Schreiben 0/12 [V];Schreiben 0/13 [V];Schreiben 0/14 [V];Schreiben 0/15 [V];Schreiben 1/0 [V];Schreiben 1/1 [V];Schreiben 1/2 [V];Schreiben 1/3 [V];Schreiben 1/4 [V];Schreiben 1/5 [V];Schreiben 1/6 [V];Schreiben 1/7 [V];Schreiben 1/8 [V];Schreiben 1/9 [V];Schreiben 1/10 [V];Schreiben 1/11 [V];Schreiben 1/12 [V];Schreiben 1/13 [V];Schreiben 1/14 [V];Schreiben 1/15 [V];Schreiben 2/0 [V];Schreiben 2/1 [V];Schreiben 2/2 [V];Schreiben 2/3 [V];Schreiben 2/4 [V];Schreiben 2/5 [V];Schreiben 2/6 [V];Schreiben 2/7 [V];Schreiben 2/8 [V];Schreiben 2/9 [V];Schreiben 2/10 [V];Schreiben 2/11 [V];Schreiben 2/12 [V];Schreiben 2/13 [V];Schreiben 2/14 [V];Schreiben 2/15 [V];Schreiben 3/0 [V];Schreiben 3/1 [V];Schreiben 3/2 [V];Schreiben 3/3 [V];Schreiben 3/4 [V];Schreiben 3/5 [V];Schreiben 3/6 [V];Schreiben 3/7 [V];Schreiben 3/8 [V];Schreiben 3/9 [V];Schreiben 3/10 [V];Schreiben 3/11 [V];Schreiben 3/12 [V];Schreiben 3/13 [V];Schreiben 3/14 [V];Schreiben 3/15 [V];Schreiben 4/0 [V];Schreiben 4/1 [V];Schreiben 4/2 [V];Schreiben 4/3 [V];Schreiben 4/4 [V];Schreiben 4/5 [V];Schreiben 4/6 [V];Schreiben 4/7 [V];Schreiben 4/8 [V];Schreiben 4/9 [V];Schreiben 4/10 [V];Schreiben 4/11 [V];Schreiben 4/12 [V];Schreiben 4/13 [V];Schreiben 4/14 [V];Schreiben 4/15 [V];Schreiben 5/0 [V];Schreiben 5/1 [V];Schreiben 5/2 [V];Schreiben 5/3 [V];Schreiben 5/4 [V];Schreiben 5/5 [V];Schreiben 5/6 [V];Schreiben 5/7 [V];Schreiben 5/8 [V];Schreiben 5/9 [V];Schreiben 5/10 [V];Schreiben 5/11 [V];Schreiben 5/12 [V];Schreiben 5/13 [V];Schreiben 5/14 [V];Schreiben 5/15 [V];Schreiben 6/0 [V];
06.09.2018 08:59:58,00;248,466388;248,466388;22,336538;1,203471;162,369543;162,369543;8,008030;0,602645;883,333333;883,333333;1083,333333;7645,833333;32,629401;25,230739;4,702411;0,453108;73,740390;73,740390;15,468687;1,259172;51,451620;51,451620;7,822349;0,661820;870,833333;870,833333;1141,666667;7537,500000;16,941769;10,602226;3,799148;0,447874;15,687632;49,571170;14,628513;35,832965;0,903264;8,501559;0,005233;0,900982;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;
06.09.2018 09:00:10,00;123,044246;123,044246;33,275380;3,020902;45,488645;45,488645;12,594317;1,480816;887,500000;887,500000;1220,833333;7645,833333;24,199649;11,863268;8,183290;0,865419;141,875722;141,875722;59,441474;2,082618;43,765511;43,765511;25,107367;1,167976;866,666667;866,666667;1091,666667;7500,000000;32,605625;15,990231;11,142761;0,679824;8,405977;56,805274;4,126963;27,853499;2,959470;19,326051;0,185594;1,545243;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;
06.09.2018 09:00:54,00;118,487693;118,487693;20,001237;2,043791;40,934017;40,934017;12,325055;1,068540;883,333333;883,333333;1137,500000;7779,166667;25,219195;16,468099;5,701422;0,754203;87,975819;87,975819;20,044221;0,978059;33,555279;33,555279;11,174041;0,404662;895,833333;895,833333;1150,000000;7758,333333;24,118623;16,637648;4,577938;0,402178;1,100571;49,337818;0,169549;33,105747;1,123484;10,279360;0,352026;1,156381;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;
06.09.2018 09:01:06,00;192,106010;192,106010;17,669988;2,012902;69,481839;69,481839;6,918868;1,035678;883,333333;883,333333;1158,333333;7558,333333;23,773152;18,139850;3,447780;0,667217;123,418516;123,418516;18,098731;1,646988;44,805065;44,805065;11,130702;0,875114;900,000000;900,000000;1158,333333;7570,833333;23,391653;15,486621;4,437728;0,704371;0,381499;47,164805;2,653229;33,626471;0,989948;7,885508;0,037153;1,371588;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;
06.09.2018 09:01:18,00;103,597308;103,597308;17,525267;7,074257;33,027116;33,027116;6,803142;3,248786;891,666667;891,666667;1116,666667;7712,500000;23,057159;13,286574;4,164455;1,937085;67,978036;67,978036;14,106569;1,486967;30,335379;30,335379;5,052441;0,488760;904,166667;904,166667;1204,166667;7779,166667;14,868514;9,328150;3,146683;0,490529;8,188644;37,925673;3,958424;22,614724;1,017772;7,311138;1,446556;2,427614;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
06.09.2018 09:01:30,00;191,927945;191,927945;16,521953;0,619114;95,326492;95,326492;6,641976;0,212074;883,333333;883,333333;1141,666667;7554,166667;33,248455;26,133109;4,947801;0,192226;146,868685;146,868685;20,375280;0,948150;74,472285;74,472285;8,799364;0,424907;887,500000;887,500000;1145,833333;7729,166667;29,081678;19,743995;5,961809;0,327159;4,166777;62,330133;6,389114;45,877104;1,014009;10,909610;0,134933;0,519385;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;
06.09.2018 09:01:42,00;307,544616;307,544616;16,077738;4,672877;129,807724;129,807724;9,518101;2,125841;895,833333;895,833333;1104,166667;7587,500000;36,485931;29,398158;3,946556;1,045706;100,151631;100,151631;17,299874;4,172809;38,032173;38,032173;8,409962;1,596703;870,833333;870,833333;1116,666667;7766,666667;25,836221;17,105966;4,619025;1,336145;10,649710;62,322152;12,292193;46,504124;0,672469;8,565581;0,290438;2,381851;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;
06.09.2018 09:01:54,00;154,455023;154,455023;15,271954;1,680502;73,625034;73,625034;7,144955;0,708118;891,666667;891,666667;1079,166667;7591,666667;28,650233;23,116271;3,873372;0,470477;147,728149;147,728149;20,502491;4,131394;58,703675;58,703675;9,083204;1,508129;887,500000;887,500000;1195,833333;7695,833333;32,976073;20,557076;6,023955;1,424535;4,325839;61,626306;2,559195;43,673347;2,150583;9,897327;0,954059;1,895012;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;
06.09.2018 09:02:06,00;104,633160;104,633160;17,203656;3,070439;60,125664;60,125664;8,399595;1,554915;908,333333;908,333333;1137,500000;7595,833333;22,026964;15,893862;4,115520;0,616629;172,734597;172,734597;17,200343;1,473296;77,578115;77,578115;9,328308;0,532912;891,666667;891,666667;1191,666667;7704,166667;20,730551;14,407549;4,425802;0,393234;1,296413;42,757515;1,486314;30,301411;0,310283;8,541322;0,223394;1,009863;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;
06.09.2018 09:02:18,00;185,560762;185,560762;25,695894;3,140662;98,052906;98,052906;10,962522;1,557616;883,333333;883,333333;1116,666667;7570,833333;28,429669;20,746479;5,002258;0,998960;153,929948;153,929948;27,437538;2,758474;101,125706;101,125706;14,290317;1,144457;812,500000;812,500000;1145,833333;7625,000000;32,171195;21,307672;7,034855;0,764834;3,741526;60,600864;0,561193;42,054151;2,032597;12,037113;0,234126;1,763794;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;
