DASYLab 2016 - 2016
Schaltbildname : PreIma-2018
Aufgenommen am : 05.09.2018, 10:18:11
Blocklaenge    : 1
Delta          : 0.08 sec.
Kanalzahl      : 97
> Aktuelle Config.: Federtyp_03.TypCfg
> Typ der Feder: 3
> Faktor nach FFT: 100000,00
> Faktor nach Integr.: 100,00
Datum Uhrzeit;Schreiben 0/0 [V];Schreiben 0/1 [V];Schreiben 0/2 [V];Schreiben 0/3 [V];Schreiben 0/4 [V];Schreiben 0/5 [V];Schreiben 0/6 [V];Schreiben 0/7 [V];Schreiben 0/8 [V];Schreiben 0/9 [V];Schreiben 0/10 [V];Schreiben 0/11 [V];Schreiben 0/12 [V];Schreiben 0/13 [V];Schreiben 0/14 [V];Schreiben 0/15 [V];Schreiben 1/0 [V];Schreiben 1/1 [V];Schreiben 1/2 [V];Schreiben 1/3 [V];Schreiben 1/4 [V];Schreiben 1/5 [V];Schreiben 1/6 [V];Schreiben 1/7 [V];Schreiben 1/8 [V];Schreiben 1/9 [V];Schreiben 1/10 [V];Schreiben 1/11 [V];Schreiben 1/12 [V];Schreiben 1/13 [V];Schreiben 1/14 [V];Schreiben 1/15 [V];Schreiben 2/0 [V];Schreiben 2/1 [V];Schreiben 2/2 [V];Schreiben 2/3 [V];Schreiben 2/4 [V];Schreiben 2/5 [V];Schreiben 2/6 [V];Schreiben 2/7 [V];Schreiben 2/8 [V];Schreiben 2/9 [V];Schreiben 2/10 [V];Schreiben 2/11 [V];Schreiben 2/12 [V];Schreiben 2/13 [V];Schreiben 2/14 [V];Schreiben 2/15 [V];Schreiben 3/0 [V];Schreiben 3/1 [V];Schreiben 3/2 [V];Schreiben 3/3 [V];Schreiben 3/4 [V];Schreiben 3/5 [V];Schreiben 3/6 [V];Schreiben 3/7 [V];Schreiben 3/8 [V];Schreiben 3/9 [V];Schreiben 3/10 [V];Schreiben 3/11 [V];Schreiben 3/12 [V];Schreiben 3/13 [V];Schreiben 3/14 [V];Schreiben 3/15 [V];Schreiben 4/0 [V];Schreiben 4/1 [V];Schreiben 4/2 [V];Schreiben 4/3 [V];Schreiben 4/4 [V];Schreiben 4/5 [V];Schreiben 4/6 [V];Schreiben 4/7 [V];Schreiben 4/8 [V];Schreiben 4/9 [V];Schreiben 4/10 [V];Schreiben 4/11 [V];Schreiben 4/12 [V];Schreiben 4/13 [V];Schreiben 4/14 [V];Schreiben 4/15 [V];Schreiben 5/0 [V];Schreiben 5/1 [V];Schreiben 5/2 [V];Schreiben 5/3 [V];Schreiben 5/4 [V];Schreiben 5/5 [V];Schreiben 5/6 [V];Schreiben 5/7 [V];Schreiben 5/8 [V];Schreiben 5/9 [V];Schreiben 5/10 [V];Schreiben 5/11 [V];Schreiben 5/12 [V];Schreiben 5/13 [V];Schreiben 5/14 [V];Schreiben 5/15 [V];Schreiben 6/0 [V];
05.09.2018 10:18:11,00;12,320784;12,320784;10,233672;0,416246;4,924976;4,924976;4,625357;0,274470;745,833333;745,833333;1100,000000;7687,500000;9,205212;2,862856;3,578836;0,152341;25,013604;7,587390;25,013604;0,437725;11,439322;3,855459;11,439322;0,203328;1079,166667;887,500000;1079,166667;7620,833333;10,730743;2,095277;5,496588;0,129007;1,525531;19,935956;0,767579;4,958133;1,917753;9,075424;0,023334;0,281349;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
05.09.2018 10:18:25,00;6,590289;3,325933;6,590289;0,661865;4,410926;1,750810;4,410926;0,262176;1129,166667;858,333333;1129,166667;7595,833333;5,691142;0,846356;1,897360;0,192968;10,149642;5,558825;10,149642;0,213453;4,961973;2,685523;4,961973;0,084514;1125,000000;729,166667;1125,000000;7512,500000;7,184299;1,463414;3,056072;0,079376;1,493158;12,875441;0,617058;2,309769;1,158713;4,953432;0,113592;0,272344;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
05.09.2018 10:18:37,00;24,710553;14,492548;24,710553;0,886571;13,011696;8,878838;13,011696;0,469960;1108,333333;858,333333;1108,333333;7504,166667;13,706127;3,279324;6,733511;0,274648;13,318203;6,314419;13,318203;0,549911;6,334006;2,653197;6,334006;0,347819;1050,000000;762,500000;1050,000000;7687,500000;10,203296;2,256852;4,206225;0,148898;3,502831;23,909423;1,022472;5,536176;2,527287;10,939736;0,125750;0,423547;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
05.09.2018 10:18:50,00;6,840837;3,165113;6,840837;0,508329;2,824158;1,716184;2,824158;0,224987;1150,000000;750,000000;1150,000000;7708,333333;4,932723;0,819900;1,793313;0,180377;6,079428;5,471040;6,079428;0,267450;2,419214;2,419214;1,929557;0,149737;733,333333;733,333333;1104,166667;7779,166667;5,534284;1,470018;1,899436;0,082937;0,601561;10,467007;0,650118;2,289918;0,106123;3,692749;0,097440;0,263314;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
05.09.2018 10:19:02,00;6,703115;6,703115;6,433123;0,303063;3,739859;3,739859;3,007855;0,131882;779,166667;779,166667;1179,166667;7525,000000;5,394929;1,771645;1,954870;0,101739;5,063598;5,063598;3,872942;0,211406;1,705617;1,705617;1,589036;0,102088;820,833333;820,833333;1375,000000;7833,333333;4,912203;1,166492;1,491733;0,082691;0,482726;10,307132;0,605153;2,938137;0,463137;3,446603;0,019049;0,184430;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
05.09.2018 10:19:15,00;10,005251;5,085504;10,005251;0,750643;6,129204;2,048217;6,129204;0,370507;1079,166667;775,000000;1079,166667;7529,166667;9,671096;1,540165;4,049159;0,256693;16,465127;10,702368;16,465127;0,508748;6,172669;5,005100;6,172669;0,228866;1091,666667;733,333333;1091,666667;7654,166667;9,440404;2,541846;3,613716;0,166748;0,230692;19,111500;1,001681;4,082012;0,435443;7,662875;0,089945;0,423441;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
05.09.2018 10:19:27,00;25,674685;11,654334;25,674685;0,694568;14,638220;6,223848;14,638220;0,431395;1104,166667;787,500000;1104,166667;7529,166667;16,012004;2,344982;7,673853;0,268462;35,931198;14,483081;35,931198;0,333933;12,998070;8,425441;12,998070;0,169111;1112,500000;783,333333;1112,500000;7525,000000;15,753032;3,355911;8,468860;0,112321;0,258972;31,765036;1,010929;5,700893;0,795007;16,142714;0,156141;0,380782;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
05.09.2018 10:19:40,00;8,129518;5,449490;8,129518;0,489924;3,726708;1,695030;3,726708;0,234407;1125,000000;750,000000;1125,000000;7637,500000;5,200244;0,992620;1,907184;0,165241;16,256787;7,352325;16,256787;0,238970;10,335641;3,059829;10,335641;0,102415;1104,166667;779,166667;1104,166667;7508,333333;8,383908;1,808536;3,093623;0,091406;3,183663;13,584152;0,815916;2,801156;1,186440;5,000807;0,073835;0,256646;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
05.09.2018 10:19:52,00;27,121135;10,712110;27,121135;0,801787;12,961679;5,389759;12,961679;0,373574;1091,666667;804,166667;1091,666667;7604,166667;14,304087;2,955834;6,652699;0,253943;63,787672;14,002428;63,787672;0,409801;25,938062;5,834911;25,938062;0,182214;1116,666667;808,333333;1116,666667;7558,333333;20,200179;3,811673;11,421309;0,150407;5,896091;34,504266;0,855839;6,767507;4,768610;18,074007;0,103537;0,404350;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
05.09.2018 10:20:05,00;9,509167;6,201963;9,509167;0,241824;6,544764;1,984114;6,544764;0,126373;1112,500000;770,833333;1112,500000;7858,333333;5,844712;1,298792;2,656874;0,088003;10,380600;6,381644;10,380600;0,427825;4,017605;3,556244;4,017605;0,187918;1370,833333;766,666667;1370,833333;7683,333333;11,112440;1,563744;3,648440;0,177545;5,267728;16,957153;0,264952;2,862537;0,991565;6,305314;0,089543;0,265548;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
